,KGISWardID,KGISWardNa,date,mean,year,month,day
208,5030,Devara Jeevanahalli,2019-01-09,0.2377338299493655,2019,1,9
209,5031,S K Garden,2019-01-09,0.2949498343309304,2019,1,9
210,5034,Sagayarapuram,2019-01-09,0.2778840902941045,2019,1,9
211,5035,Pulikeshinagar,2019-01-09,0.30602566264185,2019,1,9
212,5038,Horamavu,2019-01-09,0.3068739241967623,2019,1,9
213,5039,Babusab Palya,2019-01-09,0.2566051615538997,2019,1,9
214,5042,Kalkere,2019-01-09,0.2753379839842316,2019,1,9
215,5043,Ramamurthy Nagara,2019-01-09,0.2365060287480826,2019,1,9
216,5046,Vijinapura,2019-01-09,0.2517023294667196,2019,1,9
217,5047,K R Puram,2019-01-09,0.3057616463237351,2019,1,9
218,5050,Medahalli,2019-01-09,0.310777071408031,2019,1,9
219,5051,Basavanapura,2019-01-09,0.2701514227965585,2019,1,9
220,5054,Devasandra,2019-01-09,0.2937629513483511,2019,1,9
221,5055,Mahadevapura,2019-01-09,0.2511709579934333,2019,1,9
222,5058,A Narayanapura,2019-01-09,0.2455996625862842,2019,1,9
223,5059,Vijnana Nagar,2019-01-09,0.2961875705981653,2019,1,9
224,5062,HAL Airport,2019-01-09,0.3067269201379696,2019,1,9
225,5063,Hennur,2019-01-09,0.2492928150639927,2019,1,9
226,5066,Nagavara,2019-01-09,0.188192923640824,2019,1,9
227,5067,Kadugondanahalli,2019-01-09,0.2418234099142455,2019,1,9
228,5070,Venkateshpura,2019-01-09,0.2012043343503801,2019,1,9
229,5071,Kacharkanahalli,2019-01-09,0.2351905134071752,2019,1,9
230,5074,HRBR Layout,2019-01-09,0.2498410186529641,2019,1,9
231,5075,Banasavadi,2019-01-09,0.2705532850224651,2019,1,9
232,5078,Kammanahalli,2019-01-09,0.2429079913691507,2019,1,9
233,5079,Lingarajapura,2019-01-09,0.2360921556481207,2019,1,9
234,5082,Maruthi Seva Nagar,2019-01-09,0.2934364218636644,2019,1,9
235,5083,Kadugodi,2019-01-09,0.3486675331179867,2019,1,9
236,5086,Belathur,2019-01-09,0.323603915208201,2019,1,9
237,5087,Hudi,2019-01-09,0.2782646110503999,2019,1,9
238,5090,Garudachar Playa,2019-01-09,0.2495847964340027,2019,1,9
239,5091,Dodda Nekkundi,2019-01-09,0.2878958662527824,2019,1,9
240,5094,AECS Layout,2019-01-09,0.2371646427245527,2019,1,9
241,5095,Whitefield,2019-01-09,0.313148751893079,2019,1,9
242,5098,Hagadur,2019-01-09,0.3174728070318043,2019,1,9
243,6926,Basavanagudi,2019-01-25,0.2545736754968516,2019,1,25
244,6927,Srinivasa Nagar,2019-01-25,0.2203183131670515,2019,1,25
245,6928,Srinagar,2019-01-25,0.2087875244904688,2019,1,25
246,6929,Girinagar,2019-01-25,0.2171428647050509,2019,1,25
247,6930,Kudlu,2019-01-25,0.2359735448836799,2019,1,25
248,6931,Hanumanth Nagar,2019-01-25,0.231680853762494,2019,1,25
249,6932,Vidyapeeta ward,2019-01-25,0.2084222531981255,2019,1,25
250,6933,Katriguppe,2019-01-25,0.2344582031556652,2019,1,25
251,6934,Anjanapura,2019-01-25,0.2839751224398287,2019,1,25
252,6935,Yediyur,2019-01-25,0.2715398645990369,2019,1,25
